"Filename","participant_id","block","Transcription","SentenceID","Keywords","NumKeywords","Keywords_perSet","PropKeywordsCorrect","NumKeywordsCorrect"
"the_man_noticed_a_small_issue_with_the_theme.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","the men noticed a small issue with the thing","ENG_ERR_TRANSCRIPTION_BASELINE_S18","man, noticed, small, issue, with, theme",6,114,0.666666666666667,4
"the_man_noticed_a_small_issue_with_the_theme.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","the men noticed a small issue with the thing.","ENG_ERR_TRANSCRIPTION_BASELINE_S18","man, noticed, small, issue, with, theme",6,114,0.666666666666667,4
"the_man_noticed_a_small_issue_with_the_theme.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","the men notice a small issue with the thing","ENG_ERR_TRANSCRIPTION_BASELINE_S18","man, noticed, small, issue, with, theme",6,114,0.5,3
"the_man_noticed_a_small_issue_with_the_theme.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","the men notices more issue with the thing","ENG_ERR_TRANSCRIPTION_BASELINE_S18","man, noticed, small, issue, with, theme",6,114,0.333333333333333,2
"the_cloud_in_the_sky_appears_to_me_as_a_ship.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","the cloud in the sky appears to me as a shape.","ENG_ERR_TRANSCRIPTION_BASELINE_S17","cloud, sky, appears, as, ship",5,114,0.8,4
"the_cloud_in_the_sky_appears_to_me_as_a_ship.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","the cloudiless sky appears to be associated","ENG_ERR_TRANSCRIPTION_BASELINE_S17","cloud, sky, appears, as, ship",5,114,0.8,4
"the_cloud_in_the_sky_appears_to_me_as_a_ship.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","the cloud in the sky appears to me as a shape","ENG_ERR_TRANSCRIPTION_BASELINE_S17","cloud, sky, appears, as, ship",5,114,0.8,4
"the_cloud_in_the_sky_appears_to_me_as_a_ship.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","the cloud in the sky appears to be a ship","ENG_ERR_TRANSCRIPTION_BASELINE_S17","cloud, sky, appears, as, ship",5,114,0.8,4
"dad_told_me_that_i_should_not_miss_the_big_sloth.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","that told me that i should not beat a slop","ENG_ERR_TRANSCRIPTION_BASELINE_S02","dad, told, me, should, not, miss, big, sloth",8,114,0.5,4
"dad_told_me_that_i_should_not_miss_the_big_sloth.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","dad told me that i should not miss the big slot.","ENG_ERR_TRANSCRIPTION_BASELINE_S02","dad, told, me, should, not, miss, big, sloth",8,114,0.875,7
"dad_told_me_that_i_should_not_miss_the_big_sloth.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","dad told me that i should not get used to be exploit","ENG_ERR_TRANSCRIPTION_BASELINE_S02","dad, told, me, should, not, miss, big, sloth",8,114,0.625,5
"dad_told_me_that_i_should_not_miss_the_big_sloth.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","that told me i should not meet the beatslaw","ENG_ERR_TRANSCRIPTION_BASELINE_S02","dad, told, me, should, not, miss, big, sloth",8,114,0.5,4
"i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","i am one hundred percent sure that i feel the heat.","ENG_ERR_TRANSCRIPTION_BASELINE_S09","one, hundred, percent, sure, felt, heat",6,114,0.833333333333333,5
"i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","i am 100% sure that i felt the heat","ENG_ERR_TRANSCRIPTION_BASELINE_S09","one, hundred, percent, sure, felt, heat",6,114,0.5,3
"i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","i am one hundred percent sure that i felt the heat","ENG_ERR_TRANSCRIPTION_BASELINE_S09","one, hundred, percent, sure, felt, heat",6,114,1,6
"i_am_one_hundred_percent_sure_that_i_felt_the_heat.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","i am 100 percent sure that i felt the heat","ENG_ERR_TRANSCRIPTION_BASELINE_S09","one, hundred, percent, sure, felt, heat",6,114,0.666666666666667,4
"grandma_told_us_last_monday_that_there_is_a_rip.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","grandma told us last sunday that trees are gray.","ENG_ERR_TRANSCRIPTION_BASELINE_S05","grandma, told, us, last, monday, there, rip",7,114,0.571428571428571,4
"grandma_told_us_last_monday_that_there_is_a_rip.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","grandma told us last sunday that things are great","ENG_ERR_TRANSCRIPTION_BASELINE_S05","grandma, told, us, last, monday, there, rip",7,114,0.571428571428571,4
"grandma_told_us_last_monday_that_there_is_a_rip.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","grandma told us last monday that there is a grape","ENG_ERR_TRANSCRIPTION_BASELINE_S05","grandma, told, us, last, monday, there, rip",7,114,0.857142857142857,6
"grandma_told_us_last_monday_that_there_is_a_rip.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","grandma told us last monday that things are great","ENG_ERR_TRANSCRIPTION_BASELINE_S05","grandma, told, us, last, monday, there, rip",7,114,0.714285714285714,5
"it_is_obvious_to_us_that_you_need_a_bath.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","it is obvious laws that you need a bath.","ENG_ERR_TRANSCRIPTION_BASELINE_S13","obvious, us, you, need, bath",5,114,0.8,4
"it_is_obvious_to_us_that_you_need_a_bath.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","it is obvious to us that you need a bath","ENG_ERR_TRANSCRIPTION_BASELINE_S13","obvious, us, you, need, bath",5,114,1,5
"it_is_obvious_to_us_that_you_need_a_bath.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","it is obvious to us that you need a bath","ENG_ERR_TRANSCRIPTION_BASELINE_S13","obvious, us, you, need, bath",5,114,1,5
"it_is_obvious_to_us_that_you_need_a_bath.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","it is obvious to us that you need a bath","ENG_ERR_TRANSCRIPTION_BASELINE_S13","obvious, us, you, need, bath",5,114,1,5
"i_found_it_amusing_that_he_was_scared_of_the_wrath.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","i found it amusing that he was ascared of the rat.","ENG_ERR_TRANSCRIPTION_BASELINE_S10","found, amusing, he, scared, wrath",5,114,0.6,3
"i_found_it_amusing_that_he_was_scared_of_the_wrath.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","i find it amusing that he was scared of the rock","ENG_ERR_TRANSCRIPTION_BASELINE_S10","found, amusing, he, scared, wrath",5,114,0.6,3
"i_found_it_amusing_that_he_was_scared_of_the_wrath.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","i found it amusing that he was ascared of the raft","ENG_ERR_TRANSCRIPTION_BASELINE_S10","found, amusing, he, scared, wrath",5,114,0.6,3
"i_found_it_amusing_that_he_was_scared_of_the_wrath.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","i found it amusing that he was ascared of the rock","ENG_ERR_TRANSCRIPTION_BASELINE_S10","found, amusing, he, scared, wrath",5,114,0.6,3
"for_her_own_benefit_she_decided_to_consume_the_peel.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","for her own benefit, she decided to consume the peel","ENG_ERR_TRANSCRIPTION_BASELINE_S04","her, benefit, she, decided, consume, peel",6,114,1,6
"for_her_own_benefit_she_decided_to_consume_the_peel.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","for her own benefit she decided to consume the peel","ENG_ERR_TRANSCRIPTION_BASELINE_S04","her, benefit, she, decided, consume, peel",6,114,1,6
"for_her_own_benefit_she_decided_to_consume_the_peel.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","for her own benefit she decided to consume the peal","ENG_ERR_TRANSCRIPTION_BASELINE_S04","her, benefit, she, decided, consume, peel",6,114,0.833333333333333,5
"for_her_own_benefit_she_decided_to_consume_the_peel.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","for her own benefit, she decided to consume the peel.","ENG_ERR_TRANSCRIPTION_BASELINE_S04","her, benefit, she, decided, consume, peel",6,114,1,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","i told my colleague that something is wrong with the math","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,1,7
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","i told my colleauge that something is wrong with the math","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","i told me colleague that something is wrong with the map.","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.714285714285714,5
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","oi told my colleague that something is wrong with the map","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"everyone_commented_on_the_unusual_feet.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","everyone commented on the unusual feat","ENG_ERR_TRANSCRIPTION_BASELINE_S03","everyone, commented, unusual, feet",4,114,0.75,3
"everyone_commented_on_the_unusual_feet.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","everyone commented on the new usual fate","ENG_ERR_TRANSCRIPTION_BASELINE_S03","everyone, commented, unusual, feet",4,114,0.5,2
"everyone_commented_on_the_unusual_feet.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","everyone commented on the unusual piece.","ENG_ERR_TRANSCRIPTION_BASELINE_S03","everyone, commented, unusual, feet",4,114,0.75,3
"everyone_commented_on_the_unusual_feet.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","everyone commented on the unisual thing","ENG_ERR_TRANSCRIPTION_BASELINE_S03","everyone, commented, unusual, feet",4,114,0.5,2
"they_considered_the_value_of_the_bead.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","they considered the value of the beer.","ENG_ERR_TRANSCRIPTION_BASELINE_S20","they, considered, value, bead",4,114,0.75,3
"they_considered_the_value_of_the_bead.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","they considered the value of the bait","ENG_ERR_TRANSCRIPTION_BASELINE_S20","they, considered, value, bead",4,114,0.75,3
"they_considered_the_value_of_the_bead.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","they considered the value of the vee","ENG_ERR_TRANSCRIPTION_BASELINE_S20","they, considered, value, bead",4,114,0.75,3
"they_considered_the_value_of_the_bead.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","they consider the value of the bee","ENG_ERR_TRANSCRIPTION_BASELINE_S20","they, considered, value, bead",4,114,0.5,2
"his_finger_was_wet_from_a_leak.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","his finger was wet from a lake.","ENG_ERR_TRANSCRIPTION_BASELINE_S08","his, finger, was, wet, from, leak",6,114,0.833333333333333,5
"his_finger_was_wet_from_a_leak.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","his finger was wet from a leak","ENG_ERR_TRANSCRIPTION_BASELINE_S08","his, finger, was, wet, from, leak",6,114,1,6
"his_finger_was_wet_from_a_leak.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","his finger was wet from a leak","ENG_ERR_TRANSCRIPTION_BASELINE_S08","his, finger, was, wet, from, leak",6,114,1,6
"his_finger_was_wet_from_a_leak.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","his finger was wet from the leak","ENG_ERR_TRANSCRIPTION_BASELINE_S08","his, finger, was, wet, from, leak",6,114,1,6
"after_the_barbecue_yesterday_she_was_left_to_weep.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","after the barbeque jay so vay she was left to weep","ENG_ERR_TRANSCRIPTION_BASELINE_S01","after, barbecue, yesterday, she, was, left, weep",7,114,0.714285714285714,5
"after_the_barbecue_yesterday_she_was_left_to_weep.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","after the barbeque yesterday she was left to wait","ENG_ERR_TRANSCRIPTION_BASELINE_S01","after, barbecue, yesterday, she, was, left, weep",7,114,0.714285714285714,5
"after_the_barbecue_yesterday_she_was_left_to_weep.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","after the barbecue, jess was relieved she was left to weep","ENG_ERR_TRANSCRIPTION_BASELINE_S01","after, barbecue, yesterday, she, was, left, weep",7,114,0.857142857142857,6
"after_the_barbecue_yesterday_she_was_left_to_weep.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","after the bbq yesterday, she was left to weep.","ENG_ERR_TRANSCRIPTION_BASELINE_S01","after, barbecue, yesterday, she, was, left, weep",7,114,0.857142857142857,6
"he_noticed_the_weight_of_the_lead.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","he noticed the weight of the veep","ENG_ERR_TRANSCRIPTION_BASELINE_S07","he, noticed, weight, lead",4,114,0.75,3
"he_noticed_the_weight_of_the_lead.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","he noticed the weight of the leave.","ENG_ERR_TRANSCRIPTION_BASELINE_S07","he, noticed, weight, lead",4,114,0.75,3
"he_noticed_the_weight_of_the_lead.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","he noticed the weight of the leaf","ENG_ERR_TRANSCRIPTION_BASELINE_S07","he, noticed, weight, lead",4,114,0.75,3
"he_noticed_the_weight_of_the_lead.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","he noticed the weight of the leaf","ENG_ERR_TRANSCRIPTION_BASELINE_S07","he, noticed, weight, lead",4,114,0.75,3
"it_is_apparent_that_she_was_influenced_by_his_greed.wav","918ef2f81e38c6d89b99ce48852d457d2581bd711922646a5a9b04a8547efa98","Transcription","it is aporent she was ...","ENG_ERR_TRANSCRIPTION_BASELINE_S12","apparent, she, influenced, his, greed",5,114,0.2,1
"it_is_apparent_that_she_was_influenced_by_his_greed.wav","df4a2712733516b189b6a0ed945a84fa89965762a3eb30231041a5d278d1be9d","Transcription","it is apprehend that she was influenced by his grave.","ENG_ERR_TRANSCRIPTION_BASELINE_S12","apparent, she, influenced, his, greed",5,114,0.6,3
"it_is_apparent_that_she_was_influenced_by_his_greed.wav","f0e937c9ab0bcf1fc24a4d9666e415466d6c3456a92f16deffdebe0c9915ffb3","Transcription","it was apparent that she was influenced by his great","ENG_ERR_TRANSCRIPTION_BASELINE_S12","apparent, she, influenced, his, greed",5,114,0.8,4
"it_is_apparent_that_she_was_influenced_by_his_greed.wav","d45003e4a11ae8a629b2d67945cc1a0007dee16df3bee624db6c71282249a0e6","Transcription","she applin that she was influenced by his grave","ENG_ERR_TRANSCRIPTION_BASELINE_S12","apparent, she, influenced, his, greed",5,114,0.6,3
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","216f69eb51f2b606796c8c0004524edcc0fe25ae72db98a0c82e94840dacb92f","Transcription","i told my cleague that something is wrong with the map","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.714285714285714,5
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","41a9d66b3741b9d9f97ea21b108e3bde9fe3bb1b23dc13e4328e6bd620d3dd7c","Transcription","told my colleague something is wrong with the map.","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","514fded993b3e5f7c9379195bd1df423e33b4ac926c509359d24341a22abb609","Transcription","i told my colleagues that something was wrong with the map","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","fc69a37087329e45c3ebf212bb91a9b776756b4f09e66cf7c960e0e529c2dbc7","Transcription","i told my colleague that something is wrong with the map.","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","4f4154b1338bad6398c0c185016e2c8b7b417efe66a5d1759ba33305d9e053bd","Transcription","told my colleague that something is wrong with map.","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","8a0023f7578a917b79da29f7ed06b9bb9ed6c22a657edc0e00de6f18490dffc6","Transcription","i told my colleague that something is wrong with the man","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","465653b87722369c746839f465d96f121fd190206549bf46070620a44eb8c74c","Transcription","i told my colleague that something is wrong with the map.","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","4a78ab14d193338fa16ed327e6627f1307ba91d2b24ab91116d6bb380c417a79","Transcription","i told my colleague that something is wrong with the map","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","5f3c934e9aa042bd64aee577b99eb7dfe00102c48331c5c5436e33e418a497ae","Transcription","i told my colleague that something is wrong with the map.","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","e9ecc9c6362730250e37dd44ac00e7e94259e7cafb550e1b0bcf95871a93a0b3","Transcription","i told my colleagues that something is wrong with the math","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,1,7
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","fe03aab0b5f8cc1122b011984bb630100c00e1531ea7f5d346c33e579d0500ee","Transcription","i told my colleague that something is wrong with the","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","c3abb03fcf6055d1b25eef028060e957c3a14249450fa5495d1708d8615b14d0","Transcription","i told my colleague that something is wrong with the math","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,1,7
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","dc95a90a7ff67cedcd698eea4e429ffe41115959f4924bf18dadc94d71f980d6","Transcription","i told my colleague that something is wrong with the map","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","2a239225403e133baff7358cb6334bfd572cc868b19f7540d77bac016bde1fcb","Transcription","i told my colleague something is wrong with the map","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,0.857142857142857,6
"i_told_my_colleague_that_something_is_wrong_with_the_math.wav","82557df3b7f097afc7081da826b2ac7ea94096314f4d908d20326916041c009f","Transcription","i told my colleague that something is wrong with the math","ENG_ERR_TRANSCRIPTION_BASELINE_S11","told, my, colleague, something, wrong, with, math",7,114,1,7
