ID,type,topic,words_cor,nonphon_err_type,phon_err_type,phon_syll_pos,word_pairs,A_Correct,B_PhonErr,C_NonPhonErr,D_BothErr,Answer
fill_06,filler_other,,15,,,,,What is the name of the comic strip featuring Charlie Brown and his dog Snoopy?,,,,Peanuts
fill_07,filler_other,,15,,,,,"What holiday occurs at the end of October and features trick-or-treating, pumpkins, and haunted houses?",,,,Halloween
fill_08,filler_other,,15,,,,,What is the name of the video game character who is a traveling Italian plumber?,,,,Mario
fill_09,filler_other,,13,,,,,"What kind of animal is Mickey Mouse’s girlfriend Minnie, who wears a bow?",,,,mouse
fill_10,filler_other,,13,,,,,"Which cartoon dog solves mysteries with the group Fred, Daphne, Velma, and Shaggy?",,,,Scooby-Doo
fill_11,filler_other,,13,,,,,"Which fast food chain offers foot-long sandwiches and has the slogan ""eat fresh?""",,,,Subway
fill_12,filler_other,,14,,,,,Which Oscar-winning movie features Tom Hanks saying ‘Life is like a box of chocolates?',,,,Forrest Gump
fill_13,filler_other,,14,,,,,"What novel has the quote 'I’m late, I’m late for a very important date'?",,,,Alice in Wonderland
fill_14,filler_other,,15,,,,,"What mythical creatures have been said to drink blood, turn into bats, and hate onions? TURN -->THURN",,,,vampires
fill_15,filler_other,,15,,,,,"Who discovered the law of universal gravitation, which accounts for why objects naturally fall downwards?",,,,Isaac Newton
fill_16,filler_other,,15,,,,,Which soft pastry made with a certain spice is often spiral-shaped and topped with icing?,,,,cinnamon roll
fill_17,filler_other,,14,,,,,What US holiday is often celebrated with fireworks and hotdogs to honor America's freedom?,,,,Independence Day
fill_18,filler_other,,14,,,,,Which tropical fruit that grows on palm trees is used for oils and milks?,,,,coconuts
fill_19,filler_other,,15,,,,,"Which season do we associate with Thanksgiving, the beginning of school, and leaves turning brown?",,,,Fall
fill_20,filler_other,,15,,,,,"What musician won Grammys for their album ""Thriller,"" which features the hit song ""Beat it?""",,,,Michael Jackson
fill_21,filler_other,,11,,,,,"What animal is typically white with black spots and says ""moo?""",,,,a cow
fill_22,filler_other,,14,,,,,Where do the jolly Christmas icons Santa Claus and his wife Mrs. Claus live?,,,,the North Pole
fill_23,filler_other,,15,,,,,"In the famous Dr. Seuss book, what orange and yellow character speaks for the trees? ",,,,the Lorax
fill_24,filler_other,,15,,,,,In what country would you find landmarks like the Pyramids of Giza and Great Sphinx?,,,,Egypt
fill_25,att_check_good,,8,,,,,How many legs does a dog normally have?,,,,four
fill_26,att_check_good,,7,,,,,What state is Los Angeles located in?,,,,California
fill_27,att_check_good,,8,,,,,What day of the week comes after Monday?,,,,Tuesday
fill_28,att_check_good,,7,,,,,What color is a typical school bus?,,,,yellow
fill_29,att_check_err,,10,,,,,"In the cycle of seasons, what season comes after DINTER?",,,,"Spring (Winter, sound sub that's not related)"
fill_30,att_check_err,,12,,,,,What insect undergoes a process of change to turn into a BUTTERFY? ,,,,caterpillar (butterfly)
fill_31,att_check_err,,9,,,,,What is the largest PLANT in the solar system?,,,,Jupiter (planet)
fill_32,att_check_err,,11,,,,,"How many EMBERS were in the Beatles, the British rock band?",,,,four (members)
practice_qs,no errors,,12,,,,,In which country can you find cities such as Beijing and Shanghai?,,,,China
practice_qs,no errors,,14,,,,,What sport involves players running around the bases to get to the home plate? ,,,,baseball
practice_qs,no errors,,16,,,,,What is the name of the scientist who is credited for inventing the telephone in 1876?,,,,Alexander Graham Bell
practice_qs,unsure of answer,,15,,,,,What was the name of the sheep that was the first mammal to be cloned?,,,,Dolly (but hard)
practice_qs,sound error,,11,,,,,What city located in MISERY is famous for its large arch?,,,,St. Louis (Missouri)
practice_qs,nonsound error,,8,,,,,What is is the name of Batman's sidekick?,,,,Robin (two is's)
practice_qs,multiple errors,,18,,,,,"If I quick competed in a three-person race and came in LATS place, what medal would I win?",,,,"bronze (switching sounds)
(ADJ --> ADV)"
