participant_num,participant_id,response_value,question,stim_type,condition,nonphon_err_details,phon_err_details,err_reported,err_reported_num,err_type_response,no_err_response,comments,coder
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,nans,,acheckf,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,caterpillar,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,y,,acheckp,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"Jupiter; speaker sounds like they are saying ""plant"" instead of ""planet""",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,nun,,acheckf,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",for_what_pink_ice_cream_flavor_will_companies_do_their_best_to_use_real_fruit_targ_01_A.wav,target,correct,make vs. other verb,/ɪ/ --> /i/; will/wheel,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,for_what_pink_ice_cream_flavor_will_companies_do_their_best_to_use_real_fruit_targ_01_A.wav,target,correct,make vs. other verb,/ɪ/ --> /i/; will/wheel,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_term_refers_to_armored_men_who_enjoyed_carrying_medieval_swords_that_class_in_combat_targ_02_B.wav,target,phon_err,infinitive vs. participle,/ʃ/ --> /s/; clash/class,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,knights,what_term_refers_to_armored_men_who_enjoyed_carrying_medieval_swords_that_class_in_combat_targ_02_B.wav,target,phon_err,infinitive vs. participle,/ʃ/ --> /s/; clash/class,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,I’m good — skip to the next question,which_scottish_actor_first_played_james_bond_wearing_kilts_to_red_carpets_when_he_had_32_years_old_targ_03_C.wav,target,non_phon_err,have vs. be,/k/ --> /g/; kilt/guilt,s,,,,skipped 1st attempt,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,which_scottish_actor_first_played_james_bond_wearing_kilts_to_red_carpets_when_he_had_32_years_old_targ_03_C.wav,target,non_phon_err,have vs. be,/k/ --> /g/; kilt/guilt,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_neil_armstrong_say_during_his_berry_first_steps_on_the_moon_targ_04_D.wav,target,both_err,no aux verbs in questions (lack of do support),/v/ --> /b/; very/berry,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"one small step for man, one big leap for mankind",what_neil_armstrong_say_during_his_berry_first_steps_on_the_moon_targ_04_D.wav,target,both_err,no aux verbs in questions (lack of do support),/v/ --> /b/; very/berry,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_kind_of_weather_could_occur_when_it_is_raining_and_below_freezing_targ_05_A.wav,target,correct,expletive 'it' dropping,/ʊ/ --> /u/; could/cooed,y,,otherp,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"ice; sounds like speaker says ""oh cure"" instead of ""occur""",what_kind_of_weather_could_occur_when_it_is_raining_and_below_freezing_targ_05_A.wav,target,correct,expletive 'it' dropping,/ʊ/ --> /u/; could/cooed,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",how_many_legs_does_a_canadian_garden_spider_whose_silk_can_make_clot_have_targ_06_B.wav,target,phon_err,adj/noun order,/θ/ --> /t/; cloth/clot,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,how_many_legs_does_a_canadian_garden_spider_whose_silk_can_make_clot_have_targ_06_B.wav,target,phon_err,adj/noun order,/θ/ --> /t/; cloth/clot,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_childrens_game_makes_people_sit_down_quickly_when_the_music_loud_stops_targ_07_C.wav,target,non_phon_err,adj/noun order,/ɪ/ --> /i/; sit/seat,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Musical chairs,what_childrens_game_makes_people_sit_down_quickly_when_the_music_loud_stops_targ_07_C.wav,target,non_phon_err,adj/noun order,/ɪ/ --> /i/; sit/seat,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,because_is_important_to_honor_the_iris_saint_what_holiday_occurs_on_march_17th_targ_08_D.wav,target,both_err,expletive 'it' dropping,/ʃ/ --> /s/; Irish/iris,y,,p,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"St. Patrick's Day; sounds like speaker is saying ""Iris"" instead of ""Irish""",because_is_important_to_honor_the_iris_saint_what_holiday_occurs_on_march_17th_targ_08_D.wav,target,both_err,expletive 'it' dropping,/ʃ/ --> /s/; Irish/iris,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,if_laundry_service_will_come_in_five_days_and_todays_thursday_when_are_they_doing_laundry_next_targ_09_A.wav,target,correct,make vs. other verb,/k/ --> /g/; come/gum,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Tuesday,if_laundry_service_will_come_in_five_days_and_todays_thursday_when_are_they_doing_laundry_next_targ_09_A.wav,target,correct,make vs. other verb,/k/ --> /g/; come/gum,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,who_did_americans_boat_for_to_be_their_first_president_who_avoided_serving_three_terms_targ_10_B.wav,target,phon_err,infinitive vs. participle,/v/ --> /b/; vote/boat,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,George Washington,who_did_americans_boat_for_to_be_their_first_president_who_avoided_serving_three_terms_targ_10_B.wav,target,phon_err,infinitive vs. participle,/v/ --> /b/; vote/boat,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,,what_colors_can_have_on_a_traffic_light_which_often_senses_when_cars_pull_up_targ_11_C.wav,target,non_phon_err,have vs. be,/ʊ/ --> /u/; pulls/pools,y,,np,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_colors_can_have_on_a_traffic_light_which_often_senses_when_cars_pull_up_targ_11_C.wav,target,non_phon_err,have vs. be,/ʊ/ --> /u/; pulls/pools,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,if_youre_on_a_pat_from_california_to_hawaii_which_ocean_you_go_through_targ_12_D.wav,target,both_err,no aux verbs in questions (lack of do support),/θ/ --> /t/; path/pat,y,,np,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"Pacific; ""which ocean you go through"" should be ""which ocean would you go through"" (or something similar""",if_youre_on_a_pat_from_california_to_hawaii_which_ocean_you_go_through_targ_12_D.wav,target,both_err,no aux verbs in questions (lack of do support),/θ/ --> /t/; path/pat,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_supplies_do_you_need_to_knit_a_scarf_targ_13_A.wav,target,correct,no aux verbs in questions (lack of do support),/ɪ/ --> /i/; knit/neat,y,,otherp,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"yarn and needle; sounds like speaker is saying ""to need"" instead of ""to knit""",what_supplies_do_you_need_to_knit_a_scarf_targ_13_A.wav,target,correct,no aux verbs in questions (lack of do support),/ɪ/ --> /i/; knit/neat,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_city_have_people_rust_to_tour_to_see_where_the_us_government_does_business_targ_14_B.wav,target,phon_err,make vs. other verb,/ʃ/ --> /s/; rushed/rust,y,,otherirr,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"New York; unnecessary ""has"" in the question",what_city_have_people_rust_to_tour_to_see_where_the_us_government_does_business_targ_14_B.wav,target,phon_err,make vs. other verb,/ʃ/ --> /s/; rushed/rust,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_colors_make_up_a_traditional_candy_cane_which_people_enjoy_to_eat_during_christmas_targ_15_C.wav,target,non_phon_err,infinitive vs. participle,/k/ --> /g/; cane/gain,y,,np,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"red and white; speaker should say ""enjoy eating,"" not ""enjoy to eat""",what_colors_make_up_a_traditional_candy_cane_which_people_enjoy_to_eat_during_christmas_targ_15_C.wav,target,non_phon_err,infinitive vs. participle,/k/ --> /g/; cane/gain,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",where_do_people_get_drivers_licenses_since_is_required_as_ballad_id_to_drive_targ_16_D.wav,target,both_err,expletive 'it' dropping,/v/ --> /b/; valid/ballad,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,where_do_people_get_drivers_licenses_since_is_required_as_ballad_id_to_drive_targ_16_D.wav,target,both_err,expletive 'it' dropping,/v/ --> /b/; valid/ballad,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,how_many_days_would_my_tandem_bike_be_gone_if_someone_borrows_it_for_july_targ_17_A.wav,target,correct,adj/noun order,/ʊ/ --> /u/; would/wooed,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,31,how_many_days_would_my_tandem_bike_be_gone_if_someone_borrows_it_for_july_targ_17_A.wav,target,correct,adj/noun order,/ʊ/ --> /u/; would/wooed,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,when_you_are_hot_what_device_measures_body_temperature_in_boat_celsius_and_fahrenheit_targ_18_B.wav,target,phon_err,have vs. be,/θ/ --> /t/; both/boat,y,,otherp,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"thermometer; sounds like speaker is saying ""heart"" instead of ""hot""",when_you_are_hot_what_device_measures_body_temperature_in_boat_celsius_and_fahrenheit_targ_18_B.wav,target,phon_err,have vs. be,/θ/ --> /t/; both/boat,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_big_star_in_our_solar_system_can_still_be_visible_when_is_cloudy_targ_19_C.wav,target,non_phon_err,expletive 'it' dropping,/ɪ/ --> /i/; still/steal,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,sun,what_big_star_in_our_solar_system_can_still_be_visible_when_is_cloudy_targ_19_C.wav,target,non_phon_err,expletive 'it' dropping,/ɪ/ --> /i/; still/steal,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_popular_us_chain_provides_a_happy_meal_toy_or_plus_when_kids_have_hungry_targ_20_D.wav,target,both_err,have vs. be,/ʃ/ --> /s/; plush/plus,y,,np,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"McDonalds; ""have hungry"" should be said as ""are hungry""",what_popular_us_chain_provides_a_happy_meal_toy_or_plus_when_kids_have_hungry_targ_20_D.wav,target,both_err,have vs. be,/ʃ/ --> /s/; plush/plus,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",in_the_lion_king_who_does_nala_talk_to_and_is_laying_in_a_cot_after_theyve_reunited_targ_21_A.wav,target,correct,no aux verbs in questions (lack of do support),/k/ --> /g/; cot/got,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,in_the_lion_king_who_does_nala_talk_to_and_is_laying_in_a_cot_after_theyve_reunited_targ_21_A.wav,target,correct,no aux verbs in questions (lack of do support),/k/ --> /g/; cot/got,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,if_a_hardworking_janitor_cleaned_a_vent_in_five_minutes_how_many_seconds_is_that_targ_22_B.wav,target,phon_err,adj/noun order,/v/ --> /b/; vent/bent,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,300,if_a_hardworking_janitor_cleaned_a_vent_in_five_minutes_how_many_seconds_is_that_targ_22_B.wav,target,phon_err,adj/noun order,/v/ --> /b/; vent/bent,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_company_created_the_macbook_a_device_full_of_features_to_help_students_make_homework_targ_23_C.wav,target,non_phon_err,make vs. other verb,/ʊ/ --> /u/; full/fool,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Apple,what_company_created_the_macbook_a_device_full_of_features_to_help_students_make_homework_targ_23_C.wav,target,non_phon_err,make vs. other verb,/ʊ/ --> /u/; full/fool,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,if_i_consider_to_leave_work_after_the_fort_hour_how_many_minutes_would_that_be_targ_24_D.wav,target,both_err,infinitive vs. participle,/θ/ --> /t/; fourth/fort,y,,np,,noted the target error but didn't provide an explicit correction ,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"240; ""considered to"" does not sound correct here (to me)",if_i_consider_to_leave_work_after_the_fort_hour_how_many_minutes_would_that_be_targ_24_D.wav,target,both_err,infinitive vs. participle,/θ/ --> /t/; fourth/fort,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",what_letter_in_the_latin_alphabet_corresponds_to_the_greek_letter_alpha_fill_01.wav,filler_other,NA,NA,NA,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,what_letter_in_the_latin_alphabet_corresponds_to_the_greek_letter_alpha_fill_01.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_organ_is_often_associated_with_being_eaten_by_rotting_flesh_monsters_also_known_as_zombies_fill_02.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,brain,what_organ_is_often_associated_with_being_eaten_by_rotting_flesh_monsters_also_known_as_zombies_fill_02.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_british_celebrity_judge_often_harshly_critiqued_contestants_on_the_nationwide_singing_contest_american_idol_fill_03.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Simon Cowell,which_british_celebrity_judge_often_harshly_critiqued_contestants_on_the_nationwide_singing_contest_american_idol_fill_03.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_cartoon_character_works_at_the_krusty_krab_and_is_best_friends_with_patrick_star_fill_04.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Spongebob Squarepants,which_cartoon_character_works_at_the_krusty_krab_and_is_best_friends_with_patrick_star_fill_04.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_body_part_did_van_gogh_allegedly_cut_off_after_an_argument_with_his_friend_fill_05.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,ear,which_body_part_did_van_gogh_allegedly_cut_off_after_an_argument_with_his_friend_fill_05.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_is_the_name_of_the_comic_strip_featuring_charlie_brown_and_his_dog_snoopy_fill_06.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Charlie Brown,what_is_the_name_of_the_comic_strip_featuring_charlie_brown_and_his_dog_snoopy_fill_06.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question needs to be CORRECTED.,what_holiday_occurs_at_the_end_of_october_and_features_trick-or-treating_pumpkins_and_haunted_houses_fill_07.wav,filler_other,NA,NA,NA,y,,otherp,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"Halloween; sounds like speaker is saying ""oh cure"" instead of ""occur,"" sounds like speaker is saying ""pumpkings"" instead of ""pumpkins""",what_holiday_occurs_at_the_end_of_october_and_features_trick-or-treating_pumpkins_and_haunted_houses_fill_07.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_is_the_name_of_the_video_game_character_who_is_a_traveling_italian_plumber_fill_08.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Mario,what_is_the_name_of_the_video_game_character_who_is_a_traveling_italian_plumber_fill_08.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",what_kind_of_animal_is_mickey_mouse’s_girlfriend_minnie_who_wears_a_bow_fill_09.wav,filler_other,NA,NA,NA,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,what_kind_of_animal_is_mickey_mouse’s_girlfriend_minnie_who_wears_a_bow_fill_09.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_cartoon_dog_solves_mysteries_with_the_group_fred_daphne_velma_and_shaggy_fill_10.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Scoobydoo,which_cartoon_dog_solves_mysteries_with_the_group_fred_daphne_velma_and_shaggy_fill_10.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_fast_food_chain_offers_foot-long_sandwiches_and_has_the_slogan_eat_fresh_fill_11.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Subway,which_fast_food_chain_offers_foot-long_sandwiches_and_has_the_slogan_eat_fresh_fill_11.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_oscar-winning_movie_features_tom_hanks_saying_life_is_like_a_box_of_chocolates_fill_12.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Forrest Gump,which_oscar-winning_movie_features_tom_hanks_saying_life_is_like_a_box_of_chocolates_fill_12.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",what_novel_has_the_quote_i’m_late_i’m_late_for_a_very_important_date_fill_13.wav,filler_other,NA,NA,NA,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,what_novel_has_the_quote_i’m_late_i’m_late_for_a_very_important_date_fill_13.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_mythical_creatures_have_been_said_to_drink_blood_turn_into_bats_and_hate_onions_fill_14.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,vampires,what_mythical_creatures_have_been_said_to_drink_blood_turn_into_bats_and_hate_onions_fill_14.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,who_discovered_the_law_of_universal_gravitation_which_accounts_for_why_objects_naturally_fall_downwards_fill_15.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,Isaac Newton,who_discovered_the_law_of_universal_gravitation_which_accounts_for_why_objects_naturally_fall_downwards_fill_15.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,"The question does NOT need any corrections, but I don't know the answer/ I don't understand what the question is asking.",which_soft_pastry_made_with_a_certain_spice_is_often_spiral-shaped_and_topped_with_icing_fill_16.wav,filler_other,NA,NA,NA,nun,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,NA,which_soft_pastry_made_with_a_certain_spice_is_often_spiral-shaped_and_topped_with_icing_fill_16.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,what_us_holiday_is_often_celebrated_with_fireworks_and_hotdogs_to_honor_americas_freedom_fill_17.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,July 4,what_us_holiday_is_often_celebrated_with_fireworks_and_hotdogs_to_honor_americas_freedom_fill_17.wav,filler_other,NA,NA,NA,,,,,,
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,The question does NOT need any corrections.,which_tropical_fruit_that_grows_on_palm_trees_is_used_for_oils_and_milks_fill_18.wav,filler_other,NA,NA,NA,nans,,,,,FB_1108
1,02f23c1765769744bf2212dabbeffcfc67c50b537ac1676a4bf20c66cb2f980c,coconut,which_tropical_fruit_that_grows_on_palm_trees_is_used_for_oils_and_milks_fill_18.wav,filler_other,NA,NA,NA,,,,,,
